"","customerID","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Churn"
"1","4628-CTTLA","Male",0,"No","No",57,"No","No phone service","DSL","No","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",39.3,2111.45,"Yes"
"2","5386-THSLQ","Female",1,"Yes","No",66,"No","No phone service","DSL","No","Yes","Yes","No","Yes","No","One year","No","Bank transfer (automatic)",45.55,3027.25,"No"
"3","5445-GLVOT","Female",0,"No","No",22,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check",49.8,1049.05,"No"
"4","3197-NNYNB","Male",0,"No","No",65,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Two year","No","Credit card (automatic)",105.1,6631.85,"No"
"5","1682-VCOIO","Male",0,"No","No",23,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",20.45,481.1,"No"
"6","1045-LTCYT","Female",0,"Yes","Yes",8,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Credit card (automatic)",21.05,139.75,"No"
"7","8347-GDTMP","Female",0,"Yes","No",64,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",19.45,1225.65,"No"
"8","7218-HKQFK","Male",0,"Yes","No",2,"Yes","No","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",94.2,167.5,"Yes"
"9","9878-TNQGW","Male",0,"No","No",2,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",80.95,171.15,"Yes"
"10","0484-FFVBJ","Male",0,"No","No",32,"Yes","No","DSL","No","No","No","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",64.85,2010.95,"No"
"11","2801-NISEI","Male",0,"No","No",24,"Yes","No","DSL","Yes","No","No","Yes","No","No","Month-to-month","No","Electronic check",54.95,1348.5,"No"
"12","7049-GKVZY","Female",0,"No","No",17,"Yes","No","DSL","Yes","Yes","No","Yes","Yes","Yes","One year","No","Credit card (automatic)",79.85,1387.35,"No"
"13","1227-UDMZR","Female",0,"Yes","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",91.15,6637.9,"No"
"14","3552-CTCYF","Male",0,"Yes","Yes",63,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",104.8,6597.25,"No"
"15","0103-CSITQ","Female",0,"Yes","No",57,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Bank transfer (automatic)",109.4,6252.7,"No"
"16","2320-YKQBO","Female",0,"No","No",7,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",19.3,144.95,"No"
"17","2482-CZGBB","Male",0,"No","No",10,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70,740,"Yes"
"18","5360-LJCNJ","Female",0,"Yes","No",71,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",105.15,7555,"No"
"19","7398-HPYZQ","Male",0,"Yes","No",71,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",90.55,6404,"No"
"20","2800-QQUSO","Male",0,"No","No",42,"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",100.3,4222.95,"No"
"21","6918-UMQCG","Female",0,"No","No",5,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","No","Electronic check",80.2,384.25,"No"
"22","5233-AOZUF","Female",0,"Yes","No",29,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.95,2149.05,"No"
"23","3466-RITXD","Male",0,"No","No",26,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",92.4,2349.8,"No"
"24","5222-IMUKT","Male",0,"No","No",32,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Electronic check",91.05,2871.5,"No"
"25","3359-DSRKA","Female",0,"Yes","Yes",58,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Mailed check",19.85,1158.85,"No"
"26","6265-SXWBU","Male",0,"Yes","Yes",69,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","No","One year","No","Credit card (automatic)",95.75,6511.25,"No"
"27","8336-TAVKX","Female",1,"Yes","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","Yes","Two year","No","Bank transfer (automatic)",78.45,5682.25,"No"
"28","3744-ZBHON","Female",0,"No","No",3,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Electronic check",20.2,65.95,"No"
"29","5650-YLIBA","Male",0,"No","No",31,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",81.15,2640.55,"No"
"30","1088-CNNKB","Male",0,"Yes","No",63,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","Yes","One year","No","Credit card (automatic)",80,5040.2,"No"
